(Do Not Modify) Bus Make,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Make,Manufacturer,Owner,Status,Status Reason
b908442d-1080-ea11-a811-000d3af43595,uYsjwhSYS6T2y7ph58Ih+GaD1P610n5jb4CHcoNwhwm0iUb7kir+OV1+Z7FOpsDC1rxqH0MPBoZMD3RhXO/5zA==,4/16/2020 18:29,Blue Bird,Blue Bird Body Company,Albus Dumbledore,Active,Active
fd68fd63-1080-ea11-a811-000d3af43595,Q2HhobEpGmPbG+K1MIlewUSVz7BHLmK0bpEMKAx5AZMbirAJvRN67Z8oXcUuyofZb+ax29gJvokUZdnBmyKebA==,5/5/2020 21:22,Chevrolet,"Navistar, Inc.",Albus Dumbledore,Active,Active
6f39cf9c-1080-ea11-a811-000d3af43595,30FAUX5R/BsxtvZlum6+lLfArOn6UF0MKF+kOTIBSseGI7ncZBy/21t8+3WJpT78WvKmoT5pT3zbVszs2ediDA==,4/16/2020 18:32,Country Coach,Country Coach Corporation,Albus Dumbledore,Active,Active
b1c9028e-1080-ea11-a811-000d3af43595,d61TRg+bHfWq27Tf0z73f2Fv4ApyBfBxMRhecq2cfVnkkVjnVfHWJKv06cFQhu+KZa03qtxOxHIeIfpJBxWa9Q==,4/16/2020 18:31,Ford,"Ford Motor Company, USA",Albus Dumbledore,Active,Active
18d8287e-1080-ea11-a811-000d3af43595,eyb4nTOG7m0kuF5EhDyTT/a6Ck4bwFOtfMAKxoq4auZK22K5LBoyBI6kku8sF06uHLGjCC6uDJL1b5c6ZtNGBQ==,4/16/2020 18:31,Freightliner,Freightliner Custom Chassis Corp,Albus Dumbledore,Active,Active
00c2c74f-1080-ea11-a811-000d3af43595,dmNfgpK3L/GK1gUwJsDTRxla7w3oc/VzyRjqZruU+LeG2ymFDtuv7mwv9VkafEwOzB9l+tQKfgOaQ2oGqvX8hA==,4/16/2020 18:30,GMC,General Motors LLC,Albus Dumbledore,Active,Active
0819c248-1080-ea11-a811-000d3af43595,tJzUpaZ6q5NQXxxKqlfEXdRN7jeXR6nyL/pxy3BMSFV4EnK3bJzVyeKZel5v9OOPbrmd8VXPTOGS6/usP/d5vw==,4/16/2020 18:30,IC Bus,"IC Bus, LLC",Albus Dumbledore,Active,Active
e07b975d-1080-ea11-a811-000d3af43595,irM6VRDWabQ+RpgxcFWvwLrvYAwik7mN9X8jebJ30gsMZqeg2r9S+hfKcgrvu9+UvTmuUNvGALyGAqrnRVr8xA==,4/16/2020 18:30,International,"Navistar, Inc.",Albus Dumbledore,Active,Active
fdd9c93a-1080-ea11-a811-000d3af43595,o1Mq5xQXrp2/2K8dhACjpPiV/OJl5N1GwlwxnZ5rmRkyQjnE2V+x1spAox+mOzsRQSsJjyAK1ekFvO212IQsPQ==,4/16/2020 18:29,Thomas Built,"Thomas Built Buses, Inc",Albus Dumbledore,Active,Active
