(Do Not Modify) Facility Type,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Created On,Highest Grade,Lowest Grade,Owner,School Type,Status,Status Reason
2a3a2c35-ba88-ea11-a811-000d3af42496,wfqMQTwBVzsl6eRLe7eIoQGhKrwh1RGJELjgXrBbkcdXnu7ADk8TGUrJmfvM0FjQ+AkLs+OK0u5awPb+Iy+aeA==,4/27/2020 19:06,Board Office,4/27/2020 12:06,,,Albus Dumbledore,,Active,Active
c0acad47-ba88-ea11-a811-000d3af42496,7ySHPcu4MPj5brBvujgrTuadpd0jNHrHQu7yvH4Wnp+MFeYFBOyhYPJRPLwMN0M/PM2MIFLO/CERsypzfALFEQ==,4/27/2020 19:07,Bus Garage,4/27/2020 12:07,,,Albus Dumbledore,,Active,Active
e67a243b-ba88-ea11-a811-000d3af42496,5nKsFjmIwcjauMFjCF9GQz5nQZDMFdm/Ztt5xv7rf60J7Mkrz/asfLrHE1rneNn3O+vHjQpU9DsvzCKCAfWjxA==,4/27/2020 19:06,Child Care,4/27/2020 12:06,,,Albus Dumbledore,,Active,Active
33f5d7f4-b988-ea11-a811-000d3af42496,trl1TnBUcsxCc8St4KyIXoOX9DsV/g/FerVl9I2Lpdu3+xy9T1FZ0ai8taL17mMAlCCkUX6wWXml1y2bfC5Usw==,7/29/2020 21:49,Elementary,4/27/2020 12:04,7,K,Albus Dumbledore,Elementary,Active,Active
4b6d710a-ba88-ea11-a811-000d3af42496,BPnz4zf0W/faNcWrURT5mm076804Xa902Fex23vEMPqsTCaiUDdZelJAPNPCPrFd6E5vLroxaeHzJ+1ceKP/2Q==,7/29/2020 21:49,Elem-Middle,4/27/2020 12:05,8,6,Albus Dumbledore,Junior Middle,Active,Active
f4576312-ba88-ea11-a811-000d3af42496,DEFjbomIkw8ZeKx7IeqhJMZBlIzX9sE2xTE2nSeQIT6v4qZIIGXjaER/3lyihDKIAxUoaYmoTbKPFtyYouS27A==,7/29/2020 21:49,Elem-Sec,4/27/2020 12:05,12,K,Albus Dumbledore,Secondary,Active,Active
e881e64d-ba88-ea11-a811-000d3af42496,CIME1mjpKK0Hnqx7Ze2KJWnQWJuqsweir5qTxLsodgQEvr7CZtslzObJdUs8l08IlBt/8wHvelXJSD3hWuhYQQ==,4/27/2020 19:07,Learning Centre,4/27/2020 12:07,,,Albus Dumbledore,,Active,Active
70099441-ba88-ea11-a811-000d3af42496,V2I1qkex3wZMplhqUCJQoHOlbuUIa6mMxdqeSCuEcl0JyHf+K9DdzDipMXBoBXLUZhfuYdCQJb/Wz07l7PfIiw==,4/27/2020 19:06,Maintenance,4/27/2020 12:06,,,Albus Dumbledore,,Active,Active
38f5d7f4-b988-ea11-a811-000d3af42496,7qXJnh1fEQ1ZyUKUzMK+o1YKZBHnFS5PAEPlBLBWYusUbPnlXK/U6J7mPyU2ppGPoVVAiQUwACtsJwhnt6oKrQ==,7/29/2020 21:49,Middle,4/27/2020 12:04,8,6,Albus Dumbledore,Senior Middle,Active,Active
0dfbf526-ba88-ea11-a811-000d3af42496,DlpSoh0r6t5YZEuvwyJksxhByctNMZUi7kzG/395IomSK3P1liEnLuUqBkszUL5YATmOa6JmlJI5j+uUYt8bVA==,7/29/2020 21:49,Middle-Sec,4/27/2020 12:06,9,7,Albus Dumbledore,Senior Middle,Active,Active
1582e64d-ba88-ea11-a811-000d3af42496,2lwhAvs65e+1A7CPGw6uSHMKkTUI4pElZphr76wTLazLUAwVwCPc+bh5539OTALP1LyWSpAUepvaAWXqaZr56g==,4/27/2020 19:07,Other,4/27/2020 12:07,,,Albus Dumbledore,,Active,Active
b5c6c5fb-b988-ea11-a811-000d3af42496,4PL8Xd0pYLGoA1PYcoWAwI0HKVzLm/OIYx6g698XHvPG4Q+eyEn0hIELm5fRrmttOQGLEVGlPba6owIj4FJP1A==,7/29/2020 21:49,Secondary,4/27/2020 12:05,12,8,Albus Dumbledore,Secondary,Active,Active
ecacad47-ba88-ea11-a811-000d3af42496,cOh/xpMmicaUSl2jIBBhFgMI9bu4P+hJdgpUJCpTAwjmlCKpUjJGpbORlu8rfl9pBed8+AVU/3h6dr2qooXwww==,4/27/2020 19:07,Storage,4/27/2020 12:07,,,Albus Dumbledore,,Active,Active
