(Do Not Modify) Milestone,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Type,Applicable for,Audience ,Sort Order,Owner,Status,Status Reason
b9fa8fa1-46a0-ea11-a812-000d3af42496,c5UlY+q9oNtjsoelM4DkmwqV50iwKJ3hv2ng0Q/rObH15Z0irdcWYjIZfFweKnai/b8rnSMtZ1n2KFUn+cd+Cg==,6/5/2020 22:15,CPRL,Ministry,Major; Minor; BEP; Bus,All,1,Albus Dumbledore,Active,Active
066b7ba8-46a0-ea11-a812-000d3af42496,BH/Y6nA2UbTBRIdSTWcr0Dg+iBr9/68KoozVegSvoBZcCaYpwYgPL39aofTSLyRuRdVuCsw/7GDiyxnjRMKnnw==,6/5/2020 22:17,Concept Plan,Ministry,Major,All,2,Albus Dumbledore,Active,Active
f0f11caf-46a0-ea11-a812-000d3af42496,29RMdqkZH+ebQq7bbIhx9r1wAcxzeEzXNvUpAn/hMA3ty5j5U1X+Eg9HbNg+1mNLUQDVNMSJuBNyL0GCG+n1jw==,6/5/2020 22:17,PDR,Ministry,Major,All,3,Albus Dumbledore,Active,Active
98b697bb-46a0-ea11-a812-000d3af42496,56oWULqe/cvlcyV7rFHHaRZ74uttzvLfZgpisAQNM5pT3txkkyNK/WT7gPhA1L5Oa6S5BHU56OE0OcUGeYveFQ==,6/5/2020 22:16,TB Approval,Ministry,Major,Ministry Only,4,Albus Dumbledore,Active,Active
da5c6e04-47a0-ea11-a812-000d3af42496,xUsUD1hRo1Hgwtd57XKX723RrpwJQTfJi4FqWS3AFV0Ys9XuAjNHaVKT5gU7fJnKi7jdd/o2SqC+PR8P36wQGA==,6/5/2020 22:17,CPFA/APFA Approval,Ministry,Major; Minor; Bus,Ministry Only,5,Albus Dumbledore,Active,Active
b05d6e04-47a0-ea11-a812-000d3af42496,pyCJorVdns18wM8adZquI29iBAywe5rHvW2gseJCYXHQWmRRgJs/CrqEhPVA+4+i5cn3v0W7m7NN+gS0vGuULg==,6/5/2020 22:17,Announced,Ministry,Major,All,6,Albus Dumbledore,Active,Active
838acc10-47a0-ea11-a812-000d3af42496,3jzsKYpQGCm+hV/EmOJ/yrNUJ2TV99j0/oFoivvVs3zj+/6FTpv+qSLlKn0LarAflEksFdNPHVREQa21TRc98g==,6/5/2020 22:17,Design Development,Agreement,Major; BEP,All,7,Albus Dumbledore,Active,Active
0acbe316-47a0-ea11-a812-000d3af42496,wohW3jB7C7qnEhMzajCvLjbsBAnDPII1Ff9TASDiZYwwmTH9TSlT1BpkYaHEz/0BI7Q07MzK4U74ds9Qz0GYlg==,6/5/2020 22:17,Construction Documents,Agreement,Major; BEP,All,8,Albus Dumbledore,Active,Active
0a455023-47a0-ea11-a812-000d3af42496,JL209gSOLqtwtGXReLp22M9OBHZxGCE3xa9x/aqp5Nl0I/f1stLI10DiVVio+L7FwFJnMq+2pNuGgY/sGdCdiQ==,6/5/2020 22:17,Contract Award,Agreement,Major; Minor; BEP; Bus,All,9,Albus Dumbledore,Active,Active
1c455023-47a0-ea11-a812-000d3af42496,Su7SLixB7HDRs1McaQcRj5KB3zt8mY6QHL9kS1AKRwqYM28fEIgb9O6+5vxgdidjRyDHBqN9ed+WJNUb37M0RQ==,6/5/2020 22:17,Occupancy,Agreement,Major,All,10,Albus Dumbledore,Active,Active
53fdb72f-47a0-ea11-a812-000d3af42496,mP+Y/Y5QSUqtPqnHFdNvKzRYj2trLdBVJYeMuSV6oEjUhIovlw0+FG73VNyJftYt5JGDY5zxNlrbXgHa6X14Qw==,6/5/2020 22:17,Final Completion,Agreement,Major; Minor; BEP; Bus,All,11,Albus Dumbledore,Active,Active
3cbabc8f-e1a5-ea11-a813-000d3af42496,tzuQLtxo7Xi3ghaSApCPWJQGPqtGZSctBj6dIe14k8xtiQHyVIcNt7ypVFDnBh0iQpJUM+33Wkj/NaNPUMk+2w==,6/5/2020 22:18,BECA,Ministry,BEP,All,12,Albus Dumbledore,Active,Active
